id,mode,reel_index,position_index,is_bust,is_jackpot,is_free_spin_stock,reward_type,reward_name,reward_id,amount,is_active
eb544ac0-619e-49e6-ae85-65072af4f442,normal,1,1,false,true,false,multiplier,倍率+1,,1.00,true
d9028f76-f19d-4258-b964-408fb24ff5b6,normal,1,2,false,false,false,multiplier,倍率+0.5,,0.50,true
d9da48db-7d81-4eff-a587-51553021602a,normal,1,3,false,false,false,coin,コイン +20,,20.00,true
5757f8fe-dae8-49c6-b009-b68225407716,normal,1,4,false,false,false,coin,コイン +20,,20.00,true
ad96e80c-22a4-4009-92c0-568fe7c7aa18,normal,1,5,false,false,false,coin,コイン +20,,20.00,true
2d08c267-07f3-4fc4-879d-6acbea26517a,normal,1,6,false,false,false,coin,コイン +10,,10.00,true
580d5570-ee8d-4ee8-941b-0ef383fe9658,normal,1,7,false,false,false,coin,コイン +10,,10.00,true
e61a18c0-e6be-477a-a01d-1b4292a09eba,normal,1,8,false,false,false,coin,コイン +10,,10.00,true
165f468e-03c5-4bbc-ac51-44175ea2935b,normal,1,9,false,false,false,coin,コイン +10,,10.00,true
17cc30fc-76d3-47e1-b0d1-fd1bb7b58b64,normal,1,10,true,false,false,,,,0.00,true
411e890d-636f-4a74-8d99-046087f50f0a,normal,2,1,false,true,false,multiplier,倍率+0.5,,0.50,true
85f963d5-cbab-4579-a5fb-3dbf7aad3d23,normal,2,2,false,false,false,multiplier,"倍率+0,5",,0.50,true
ba67a6f8-bbd7-417c-83c2-7823e9b26889,normal,2,3,false,false,false,coin,コイン +50,,50.00,true
aad8ebe2-761c-47ea-b47d-50e7af4328f0,normal,2,4,false,false,false,coin,コイン +30,,30.00,true
dcdb839b-f477-4166-b9ca-1cb12af1f607,normal,2,5,false,false,false,coin,コイン +20,,20.00,true
ef2a8918-10d3-4c02-bdb7-5f1bc1f5e51d,normal,2,6,false,false,false,coin,コイン +10,,10.00,true
0fbe8895-96db-4691-9bdd-006849691839,normal,2,7,false,false,false,coin,コイン +10,,10.00,true
ba65cf4e-5071-4bd7-afeb-fadcd19d3ac3,normal,2,8,false,false,false,coin,コイン +10,,10.00,true
9e34c832-2f34-4ad9-831f-9ace357b382c,normal,2,9,true,false,false,,,,0.00,true
1f1652b1-28c1-474f-a7c2-9bc9d9dc0c14,normal,2,10,true,false,false,,,,0.00,true
b03ded11-e674-4bda-a0d5-bc4bdd74c10b,normal,3,1,false,true,false,coin,コイン +100,,100.00,true
54344ebc-367d-419c-b9f2-41c1527e083c,normal,3,2,false,false,false,multiplier,倍率+0.5,,0.50,true
399c5781-3e96-42b0-a48a-212accd081c0,normal,3,3,false,false,false,coin,コイン +80,,80.00,true
5620d98f-1829-49a6-9794-12f06bf6b521,normal,3,4,false,false,false,coin,コイン +50,,50.00,true
78b40c93-1fa0-4130-b3dc-ca99152cff99,normal,3,5,false,false,false,coin,コイン +30,,30.00,true
b6ae5ea7-4950-4a57-90fa-f61045e181df,normal,3,6,false,false,false,coin,コイン +20,,20.00,true
27e2c894-255a-433b-80ac-5c783d422aa9,normal,3,7,false,false,false,coin,コイン +20,,20.00,true
a89b9782-86ca-47c1-881b-37a3c7f95c89,normal,3,8,true,false,false,,,,0.00,true
1542d6d1-3e9b-465d-b530-83a16cc30e08,normal,3,9,true,false,false,,,,0.00,true
206fb4b9-b65d-4874-ad8c-e5cbef7b811b,normal,3,10,true,false,false,,,,0.00,true
97319e7a-ea19-45a4-b5a8-5b89a0733bde,normal,4,1,false,true,false,gacha_ticket,祈願符+1,,1.00,true
ba011a44-0d37-48b8-bbda-4bd820c8f319,normal,4,2,false,false,false,coin,コイン +100,,100.00,true
57611ab4-5e1c-4e3d-9a2f-20db0ba4617e,normal,4,3,false,false,false,coin,コイン +80,,80.00,true
4a5aa4fe-9a10-49d3-bad6-8e4003a500c2,normal,4,4,false,false,false,coin,コイン +50,,50.00,true
6f32efe4-07e7-4b1f-a441-da57e84f69d5,normal,4,5,false,false,false,coin,コイン +30,,30.00,true
8eb4a4ec-1c4d-4d46-a953-488432f43038,normal,4,6,false,false,false,coin,コイン +20,,20.00,true
4b4a97dd-0b50-419c-ab8c-4798ee882176,normal,4,7,true,false,false,,,,0.00,true
5df54386-3d34-4b90-8560-d60ddf05acae,normal,4,8,true,false,false,,,,0.00,true
ad2805e5-ac1d-4fb3-b7b8-7ef0c564b28a,normal,4,9,true,false,false,,,,0.00,true
01f9634c-ffb5-4cf5-8c72-59befd69030e,normal,4,10,true,false,false,,,,0.00,true
01f0cf0a-d8d6-4ff3-a2d4-0b28b69bad35,normal,5,1,false,true,false,gacha_ticket,祈願符+2,,2.00,true
73064c57-e6af-4a28-9961-39957d8c7c2d,normal,5,2,false,false,false,gacha_ticket,祈願符+1,,1.00,true
b9ecb3f2-0312-4833-9240-5ff631d24852,normal,5,3,false,false,false,coin,コイン +300,,300.00,true
400abb5a-7fa3-45f8-9ca4-d1497bf2f8b4,normal,5,4,false,false,false,coin,コイン +200,,200.00,true
e95cfb62-399c-4781-8a50-ed28d673fb52,normal,5,5,false,false,false,coin,コイン +100,,100.00,true
8bd25f8a-d49b-45f1-b71f-cd7388709f05,normal,5,6,true,false,false,,,,0.00,true
6d17d24d-9fa2-4407-b809-04559a269fe5,normal,5,7,true,false,false,,,,0.00,true
d15a8f50-a1ac-45e6-bc44-b36a5a8a77cb,normal,5,8,true,false,false,,,,0.00,true
44a4fa88-2eaa-4a8d-9b18-572afe2e8966,normal,5,9,true,false,false,,,,0.00,true
b9db26f1-5ab3-4d4c-b4d4-215b6fa2fa32,normal,5,10,true,false,false,,,,0.00,true
79b3b8cb-d508-43d6-be67-0beef2acdf42,normal,6,1,false,true,false,mangan_ticket,満願符 +1,,1.00,true
78067bb2-c53d-4418-8694-b7ff5fdb1a21,normal,6,2,false,true,false,gacha_ticket,祈願符 +2,,2.00,true
03f9f592-79eb-4df5-bedf-73ca83800c3e,normal,6,3,false,true,false,gacha_ticket,祈願符 +1,,1.00,true
f7cd5e02-1441-4902-8a08-b7925b4d05a7,normal,6,4,false,true,false,coin,コイン+100,,100.00,true
73311ae8-c8c5-4995-84ff-2894dfd6a038,normal,6,5,true,false,false,,,,0.00,true
ef120e70-400f-4cf1-a427-40d5dacfa587,normal,6,6,true,false,false,,,,0.00,true
e3c6d8d0-3ffc-4293-8d16-b4a148bcddce,normal,6,7,true,false,false,,,,0.00,true
23d50988-59aa-414b-b27b-28a30319de9b,normal,6,8,true,false,false,,,,0.00,true
b592768b-1e90-4851-8316-932320b69f73,normal,6,9,true,false,false,,,,0.00,true
52e6aff0-70fd-45c8-a87d-ed96855cc6ae,normal,6,10,true,false,false,,,,0.00,true
c322a3da-3618-48d9-b133-d8c1a47a6329,normal,7,1,false,true,false,mangan_ticket,満願符 +3,,3.00,true
845ebdd1-ff43-4bec-93b9-ec76d8c4d5a0,normal,7,2,false,true,false,mangan_ticket,満願符 +2,,2.00,true
cc07dbd9-b256-4115-a60a-2acf7112d72a,normal,7,3,false,true,false,gacha_ticket,祈願符 +5,,5.00,true
39fecbeb-9259-40cb-9916-06943483c1c6,normal,7,4,true,false,false,,,,0.00,true
a508396e-5af2-49e8-986d-12b0a96c99ef,normal,7,5,true,false,false,,,,0.00,true
2933bf39-e61b-4f31-a271-3036ed0946f9,normal,7,6,true,false,false,,,,0.00,true
cc3d1ffe-dd84-44d9-8d16-d28f1becc2f0,normal,7,7,true,false,false,,,,0.00,true
529062e9-76af-4584-90f6-a4fbe1ad4d4c,normal,7,8,true,false,false,,,,0.00,true
d678574f-879e-42b5-b3d7-4235156dc035,normal,7,9,true,false,false,,,,0.00,true
c9b5c562-818b-4b81-af56-acc3a1689e4b,normal,7,10,true,false,false,,,,0.00,true
8877ab0a-014a-466d-a9b8-d85b826f1174,free,1,1,false,false,true,multiplier,倍率+0.1,,0.10,true
58926137-b49e-4d08-8f74-3a57ed55b49a,free,1,2,false,false,false,multiplier,倍率+0.2,,0.20,true
ebf42410-240d-4fdd-932b-ee3cdce4abc4,free,1,3,false,false,false,multiplier,倍率+0.3,,0.30,true
1c947ccd-c2c1-4a44-9b5e-d2b7e81bf3be,free,1,4,false,false,false,multiplier,倍率+0.4,,0.40,true
9398441f-a7ad-4c7e-8676-812b6ebe8e4b,free,1,5,false,false,false,multiplier,倍率+0.5,,0.50,true
3d9450ab-930f-4399-8441-8e080984609a,free,1,6,false,false,false,mangan_ticket,満願符+0.1,,0.10,true
b0d75248-2eb8-4693-b43d-42a2c560e96f,free,1,7,false,false,false,gacha_ticket,祈願符+0.2,,0.20,true
