id,reel_index,position_index,is_bust,is_jackpot,reward_type,reward_name,reward_id,amount,is_active,created_at,updated_at
626c7422-f255-4929-96fc-b073476cf1bb,1,1,false,true,multiplier,倍率+2,,2.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
7827f1c3-50a0-4fc4-bfd3-8b89012fba46,1,2,false,true,multiplier,倍率+1,,1.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
3e972692-dbbb-4dcf-bc48-b3668905fdfb,1,3,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
b73a07dc-9163-40e3-b9ca-e8fb36a26db4,1,4,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
6e0563a0-dc33-42eb-8860-050e60af5721,1,5,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
af4f4367-2e6f-4100-b83b-a89465478d44,1,6,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
a2cccc02-c72d-409a-83a0-f427a4bf1b59,1,7,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
bd89db66-26df-48c4-a901-fafe30ed77b7,1,8,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
3b71ff6e-71bc-4f5f-9327-a168aece720f,1,9,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
9c5e71d4-676c-4292-941f-52da57e4b2bf,1,10,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
f3ce9dd3-8683-445d-bc92-e463f2a49cc0,2,1,false,true,multiplier,倍率+0.5,,0.50,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
4d36bcf2-e3e6-4c38-a4c2-858bfa9a0d4c,2,2,false,false,coin,コイン +50,,50.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
dd23b4c2-35b2-44d3-adf1-f645b4c72d43,2,3,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
cf8f691c-37e6-46fb-8d55-c4ed5fc9d7e3,2,4,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
91773598-3927-4867-ad13-07578b948b9a,2,5,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
2e8c4dc2-1a0f-4477-9d1a-60ceaaf1184f,2,6,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
e7ad8e1d-f133-4e6b-b053-abc02173b3b3,2,7,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
e1ebca9e-b872-47b0-8ffc-f19c838b273f,2,8,false,false,coin,コイン +10,,10.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
47c36662-ddb2-4aeb-8af2-ae8bb1cfa8c0,2,9,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
2f65cedd-696d-4f2d-8c96-1b1335da9f26,2,10,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
ea739728-ecaa-4586-a443-49a72bc58185,3,1,false,true,coin,コイン +100,,100.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
c50ae934-f457-48de-a564-417b1a550b88,3,2,false,false,coin,コイン +80,,80.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
6f66eb7a-44d5-4979-9082-bd8a2931b3f1,3,3,false,false,coin,コイン +50,,50.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
eab27a60-0a0e-45b9-938a-6c673df2d27d,3,4,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
b8f0ff77-8603-4523-94a7-966f6203aeb2,3,5,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
344b1422-59ed-4413-8150-f02532dd729b,3,6,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
ebb7f844-294a-470b-9c8b-6c9701deb0ff,3,7,false,false,coin,コイン +20,,20.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
f1ecebb0-d72f-4f07-bce4-a1a2cdc34ecc,3,8,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
b6175cda-ffcf-41ef-b0d7-a81b39e2e22a,3,9,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
37e6fe14-cfe5-4a77-a2da-b6396ddf7d07,3,10,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
b8f447ad-ca02-437d-b658-ac58c3fb1dc2,4,1,false,true,coin,コイン +200,,200.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
736d5116-43c2-4616-b875-22f239637649,4,2,false,false,gacha_ticket,祈願符+1,,1.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
d94c1e9b-b53a-4bb7-915b-f2fb1966f4cb,4,3,false,false,coin,コイン +80,,80.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
3223a533-76b1-4727-a831-a66c8080c3dc,4,4,false,false,coin,コイン +50,,50.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
4a75f2ab-5738-4812-9fe4-07c323629433,4,5,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
b5b8da3e-e35e-42e4-a969-8a46af8a9b8c,4,6,false,false,coin,コイン +30,,30.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
9b5b3dd3-5664-4587-8291-02793d239eb2,4,7,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
3b28873c-0854-4b62-8b0e-12472f9f98ee,4,8,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
dc573fb8-90f6-4730-9227-84150095df73,4,9,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
8cf1f289-80fb-4482-bcc9-f9a7c0406898,4,10,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
657592bc-bda9-4204-8888-9afda4e6aa61,5,1,false,true,gacha_ticket,祈願符+3,,3.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
6c0e3461-6171-4e01-91f7-dc6fd4d4988d,5,2,false,false,gacha_ticket,祈願符+2,,2.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
add0bf1e-73d1-40db-87fb-2b6285b0e651,5,3,false,false,gacha_ticket,祈願符+1,,1.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
dc047105-a465-4dd6-9857-9ea20b560b01,5,4,false,false,coin,コイン +200,,200.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
08697e96-2f04-43bb-a988-5fd3ee9571a7,5,5,false,false,coin,コイン +100,,100.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
26f52c50-a2cc-48ee-82e7-fbd8074c3474,5,6,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
1d6d2ba5-4102-4e75-a6bd-801967ad39fb,5,7,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
13758c9f-7466-4fae-b025-d48cd29cf96a,5,8,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
1730619b-30f9-4c15-abe4-c2f268d5c2c3,5,9,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
44745147-bce7-4b2e-ace4-8f9c015f956c,5,10,true,false,,,,0.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
2aedc2e5-8f57-46e6-9a1c-b4c49a95e76a,6,1,false,true,mangan_ticket,満願符 +2,,2.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
9cc90f3f-004a-4d8b-9f29-95f0f502c3fc,6,2,false,false,mangan_ticket,満願符 +1,,1.00,true,2026-02-23 13:12:47.009977+00,2026-02-23 13:12:47.009977+00
